id,name,collection,country,prefecture,priority,score,unknown_dimensions,reasons,recommended_action,current_facets
jp-035,からみそラーメン,japan_local_ramen,日本,山形県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,fermented|miso|rich|soup
jp-037,鳥中華,japan_local_ramen,日本,山形県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,dashi_forward|light|salt|seafood_forward|soup|soy_sauce
jp-038,鶴岡節系ラーメン,japan_local_ramen,日本,山形県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,dashi_forward|fermented|miso|niboshi|salt|seafood_forward|soup|soy_sauce|umami_forward
jp-045,奥州郡山とんこつラーメン,japan_local_ramen,日本,福島県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,animal_forward|fermented|miso|pork_bone|rich|salt|soup|soy_sauce|umami_forward
jp-046,郡山ブラックラーメン,japan_local_ramen,日本,福島県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,dark_broth|soup|soy_sauce
jp-047,会津野沢宿味噌ラーメン,japan_local_ramen,日本,福島県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,fermented|miso|rich|soup
jp-061,船橋ソースラーメン,japan_local_ramen,日本,千葉県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,sauce|soup
jp-064,小見川カレー焼きそば,japan_local_ramen,日本,千葉県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,curry|fried_griddle|rich|roasted|spicy
jp-067,酒粕味噌ラーメン,japan_local_ramen,日本,埼玉県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,fermented|miso|rich|sake_lees|soup
jp-070,荻窪ラーメン,japan_local_ramen,日本,東京都,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,niboshi|seafood_forward|soup|soy_sauce|umami_forward
jp-074,背脂ラーメン,japan_local_ramen,日本,東京都,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,backfat|rich|soup
jp-084,新潟あっさり醤油ラーメン,japan_local_ramen,日本,新潟県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,light|soup|soy_sauce
jp-085,新潟濃厚味噌ラーメン,japan_local_ramen,日本,新潟県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,fermented|miso|rich|soup|umami_forward
